[Time:       28] [Episode:       88 Length       27 Score:     0.2243] [RScore:    -0.1897 RPPS:   234] [PPS:   235 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       29] [Episode:       89 Length      177 Score:     5.5202] [RScore:    -0.1256 RPPS:   238] [PPS:   239 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       29] [Episode:       90 Length       63 Score:     2.2173] [RScore:    -0.0995 RPPS:   236] [PPS:   237 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       29] [Episode:       91 Length       66 Score:     8.0857] [RScore:    -0.0096 RPPS:   238] [PPS:   239 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       29] [Episode:       92 Length      102 Score:     7.6443] [RScore:     0.0736 RPPS:   240] [PPS:   241 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       30] [Episode:       93 Length      159 Score:     0.9579] [RScore:     0.0831 RPPS:   242] [PPS:   243 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       30] [Episode:       94 Length       69 Score:     6.4356] [RScore:     0.1507 RPPS:   244] [PPS:   245 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       30] [Episode:       95 Length       63 Score:     5.7027] [RScore:     0.2091 RPPS:   245] [PPS:   246 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       30] [Episode:       96 Length       57 Score:     1.8029] [RScore:     0.2257 RPPS:   246] [PPS:   247 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       30] [Episode:       97 Length      126 Score:     8.7207] [RScore:     0.3133 RPPS:   249] [PPS:   250 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       30] [Episode:       98 Length      168 Score:     0.1165] [RScore:     0.3113 RPPS:   253] [PPS:   254 TPS:    59] [NT:  4 NP:  4 NA: 64]
[Time:       30] [Episode:       99 Length      172 Score:    -3.5772] [RScore:     0.2720 RPPS:   259] [PPS:   260 TPS:    59] [NT:  4 NP:  4 NA: 64]
